search_date,query_id,query,reported_results,retrieved_results,cap
2026-07-12,mechanistic-interpretability,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND (all:""mechanistic interpretability"") AND submittedDate:[201601010000 TO 202607122359]",785,785,2000
2026-07-12,transformer-circuits,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND all:""transformer circuit"") AND submittedDate:[201601010000 TO 202607122359]",29,29,2000
2026-07-12,circuit-discovery,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND all:""circuit discovery"") AND submittedDate:[201601010000 TO 202607122359]",47,47,2000
2026-07-12,causal-patching,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:""activation patching"" OR all:""path patching"" OR all:""causal tracing"")) AND submittedDate:[201601010000 TO 202607122359]",171,171,2000
2026-07-12,sparse-features,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:""sparse autoencoder"" OR all:transcoder OR all:crosscoder)) AND submittedDate:[201601010000 TO 202607122359]",531,531,2000
2026-07-12,superposition,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:superposition OR all:polysemanticity) AND (all:interpretability OR all:feature)) AND submittedDate:[201601010000 TO 202607122359]",115,115,2000
2026-07-12,lenses,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:""logit lens"" OR all:""tuned lens"" OR all:Patchscopes OR all:""Jacobian lens"")) AND submittedDate:[201601010000 TO 202607122359]",83,83,2000
2026-07-12,automated-interpretability,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:""automated interpretability"" OR all:""neuron explanation"" OR all:""feature explanation"")) AND submittedDate:[201601010000 TO 202607122359]",61,61,2000
2026-07-12,steering,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:""feature steering"" OR all:""activation steering"" OR all:""representation engineering"")) AND submittedDate:[201601010000 TO 202607122359]",319,319,2000
2026-07-12,causal-abstraction,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:""causal abstraction"" OR all:""interchange intervention"")) AND submittedDate:[201601010000 TO 202607122359]",23,23,2000
2026-07-12,model-diffing,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:""model diffing"" OR all:""cross-model feature"")) AND submittedDate:[201601010000 TO 202607122359]",14,14,2000
2026-07-12,safety-hidden-behavior,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:deception OR all:""hidden objective"" OR all:""alignment faking"" OR all:backdoor OR all:""sleeper agent"" OR all:""evaluation awareness"") AND (all:activation OR all:representation OR all:circuit OR all:feature)) AND submittedDate:[201601010000 TO 202607122359]",314,314,2000
2026-07-12,safety-output-behavior,"(cat:cs.AI OR cat:cs.CL OR cat:cs.LG OR cat:cs.CV OR cat:stat.ML) AND ((all:transformer OR all:""language model"") AND (all:refusal OR all:jailbreak OR all:hallucination OR all:bias OR all:truthfulness OR all:memorization OR all:persona) AND (all:""mechanistic interpretability"" OR all:""activation steering"" OR all:""sparse autoencoder"" OR all:circuit)) AND submittedDate:[201601010000 TO 202607122359]",370,370,2000
