arxiv_id,title,authors,published,updated,canonical_url,pdf_url,primary_category,categories,matched_queries,harvested_on,screening_decision
2607.08605,When Structured Sparse Autoencoders Learn Consistent Concepts Across Modalities,Weiduo Liao; Yunqiao Yang; Ying Wei,2026-07-09,2026-07-09,https://arxiv.org/abs/2607.08605,https://arxiv.org/pdf/2607.08605,cs.CV,cs.CV|cs.AI|cs.LG,mechanistic-interpretability|sparse-features,2026-07-12,pending
2607.08393,Towards Mechanistically Understanding Why Memorized Knowledge Fails to Generalize in Large Language Model Finetuning,Lu Dai; Ziyang Rao; Yili Wang; Hanqing Wang; Hao Liu; Hui Xiong,2026-07-09,2026-07-09,https://arxiv.org/abs/2607.08393,https://arxiv.org/pdf/2607.08393,cs.AI,cs.AI|cs.CL,safety-output-behavior,2026-07-12,pending
2607.08499,Cross-seed explainability using Procrustes-conditioned Joint End-to-end Top-K Sparse Autoencoders,Bendegúz Váradi; Zoltán Kmetty,2026-07-09,2026-07-09,https://arxiv.org/abs/2607.08499,https://arxiv.org/pdf/2607.08499,cs.CL,cs.CL,mechanistic-interpretability,2026-07-12,pending
2607.08349,"Certified Interventional Fidelity: Anytime-Valid, Adaptive Evaluation of Causal Claims in Mechanistic Interpretability",Amir Asiaee,2026-07-09,2026-07-09,https://arxiv.org/abs/2607.08349,https://arxiv.org/pdf/2607.08349,cs.LG,cs.LG,mechanistic-interpretability,2026-07-12,pending
2607.07066,Multiplication Beyond Groups: Stratified Fourier Mechanisms in Transformer Circuits,Zitong Andrew Chen; Junaid Hasan; Akhil Srinivasan; Hemkesh Bandi; Jarod Alper,2026-07-08,2026-07-08,https://arxiv.org/abs/2607.07066,https://arxiv.org/pdf/2607.07066,cs.LG,cs.LG|cs.AI|math.NT|math.RT,mechanistic-interpretability|transformer-circuits,2026-07-12,pending
2607.07903,Mechanistic Interpretability of LLM Jailbreaks via Internal Attribution Graphs,Anupam Wagle; Ifrat Ikhtear Uddin; Chaowei Zhang; Longwei Wang,2026-07-08,2026-07-08,https://arxiv.org/abs/2607.07903,https://arxiv.org/pdf/2607.07903,cs.CR,cs.CR|cs.AI,mechanistic-interpretability|safety-output-behavior,2026-07-12,pending
2607.07316,"Mechanistic Interpretability for Neural Networks: Circuits, Sparse Features and Symbolic Reasoning",Pranav Sawant; Jakub Krejčí,2026-07-08,2026-07-08,https://arxiv.org/abs/2607.07316,https://arxiv.org/pdf/2607.07316,cs.LG,cs.LG,mechanistic-interpretability|sparse-features|superposition|transformer-circuits,2026-07-12,pending
2607.07003,Dissociating the Internal Representations of Sycophancy in LLMs,Anthony Baez; Sheer Karny; Pat Pataranutaporn,2026-07-08,2026-07-08,https://arxiv.org/abs/2607.07003,https://arxiv.org/pdf/2607.07003,cs.LG,cs.LG|cs.CL,mechanistic-interpretability,2026-07-12,pending
2607.06845,LLMs Silently Correct African American English: Auditing and Mitigating Dialect Bias via Activation Steering,Huan Wu; Ali Emami; Muhammad Furquan Hassan; Osaretin Igbinoba; Osakpolor Idusuyi; Osamede Igbinoba; Faiza Khan Khattak; Laleh Seyyed-Kalantari,2026-07-07,2026-07-07,https://arxiv.org/abs/2607.06845,https://arxiv.org/pdf/2607.06845,cs.CL,cs.CL,causal-patching|safety-output-behavior|steering,2026-07-12,pending
2607.05790,Controlling Tool Use with Heading-Specific Activation Steering,Yuqi Chen; Vincent Siu; Yang Liu; Dawn Song; Chenguang Wang,2026-07-07,2026-07-07,https://arxiv.org/abs/2607.05790,https://arxiv.org/pdf/2607.05790,cs.AI,cs.AI,steering,2026-07-12,pending
